intron	complex	clade	gene	sp	length	depth	RES_density	Ancestor
NA	CCM	magnoliid	ccmC	Lirio	723	1.95E-01	74.58563536	0.327272727
NA	CCM	magnoliid	ccmC	AriG	753	3.85E-01	55.70291777	0.139534884
NA	CCM	magnoliid	ccmC	AriF	753	3.59E-01	54.37665782	0.095238095
NA	CCM	magnoliid	ccmC	AriM	753	6.05E-01	55.70291777	0.093023256
NA	CCM	magnoliid	ccmC	Thottea	753	4.00E-01	49.07161804	0.078947368
NA	CCM	magnoliid	ccmC	Asarum	738	9.13E-01	51.42083897	0.128205128
NA	CCM	magnoliid	ccmC	Saruma	738	5.40E-01	47.36129905	0.194444444
NA	CCM	monocot	ccmC	allium	717	1.04E+00	52.92479109	0.205128205
NA	CCM	monocot	ccmC	phoenix	723	1.63E+00	49.72375691	0.135135135
NA	CCM	monocot	ccmC	zea	723	4.41E-01	53.86740331	0.175
NA	CCM	monocot	ccmC	oryza	723	3.94E-01	49.72375691	0.135135135
NA	CCM	eudicot	ccmC	nelumbo	735	2.30E-01	63.85869565	0.229166667
NA	CCM	eudicot	ccmC	malus	753	2.94E-01	46.41909814	0.138888889
NA	CCM	eudicot	ccmC	arabidopsis	753	9.13E-02	37.13527851	0.137931034
NA	CCM	eudicot	ccmC	helianthus	744	2.90E-01	45.63758389	0.142857143
NA	CCM	eudicot	ccmC	nicotiana	753	1.45E+00	49.07161804	0.236842105
cis	CCM	ANA	ccmFC	Amborella	1311	4.04E-01	28.20121951	0.236842105
cis	CCM	ANA	ccmFC	Nymphaea	1317	1.06E-01	19.72685888	0.148148148
cis	CCM	magnoliid	ccmFC	Lirio	1329	2.65E-01	22.55639098	0.290322581
cis	CCM	magnoliid	ccmFC	AriG	1326	1.11E-01	18.08590806	0.24
cis	CCM	magnoliid	ccmFC	AriF	1326	3.22E-01	15.82516956	0.181818182
cis	CCM	magnoliid	ccmFC	AriM	1326	1.50E-01	18.08590806	0.24
cis	CCM	magnoliid	ccmFC	Thottea	1326	1.75E-01	18.08590806	0.28
cis	CCM	magnoliid	ccmFC	Asarum	1338	2.17E-01	19.41747573	0.222222222
cis	CCM	magnoliid	ccmFC	Saruma	1335	1.54E-01	22.45508982	0.290322581
cis	CCM	monocot	ccmFC	allium	1314	2.21E-01	19.77186312	0.333333333
cis	CCM	monocot	ccmFC	phoenix	1338	1.32E-01	17.92382375	0.2
cis	CCM	monocot	ccmFC	zea	1302	1.70E-01	23.02379125	0.35483871
cis	CCM	monocot	ccmFC	oryza	1308	1.27E-01	20.62643239	0.357142857
cis	CCM	eudicot	ccmFC	nelumbo	1326	1.06E-01	18.83948757	0.192307692
cis	CCM	eudicot	ccmFC	malus	1311	5.14E-01	18.29268293	0.2
cis	CCM	eudicot	ccmFC	arabidopsis	1329	3.22E-01	12.78195489	0.333333333
cis	CCM	eudicot	ccmFC	helianthus	1317	9.00E-02	17.45068285	0.208333333
cis	CCM	eudicot	ccmFC	nicotiana	1317	1.53E-01	15.93323217	0.409090909
NA	CCM	ANA	ccmFN	Amborella	1695	4.60E-01	27.71226415	0.125
NA	CCM	ANA	ccmFN	Nymphaea	1683	9.76E-02	24.34679335	0.19047619
NA	CCM	magnoliid	ccmFN	Lirio	1743	4.01E-01	25.2293578	0.288888889
NA	CCM	magnoliid	ccmFN	AriG	1713	3.14E-01	19.25320887	0.117647059
NA	CCM	magnoliid	ccmFN	AriF	1713	2.53E-01	19.83663944	0.114285714
NA	CCM	magnoliid	ccmFN	AriM	1713	2.37E-01	20.42007001	0.111111111
NA	CCM	magnoliid	ccmFN	Thottea	1707	5.29E-01	19.90632319	0.114285714
NA	CCM	magnoliid	ccmFN	Asarum	1737	2.21E-01	18.41196778	0.121212121
NA	CCM	magnoliid	ccmFN	Saruma	1728	9.85E-02	20.24291498	0.194444444
NA	CCM	monocot	ccmFN	allium	1653	2.23E-01	26.60217654	0.244444444
NA	CCM	monocot	ccmFN	phoenix	1722	1.52E-01	23.21532211	0.170731707
NA	CCM	monocot	ccmFN	zea	1752	2.15E-01	21.67712493	0.128205128
NA	CCM	monocot	ccmFN	oryza	1722	2.04E-01	23.21532211	0.170731707
NA	CCM	eudicot	ccmFN	nelumbo	1734	1.54E-01	24.2074928	0.23255814
NA	CCM	eudicot	ccmFN	malus	1764	3.31E-01	16.99716714	0.096774194
NA	CCM	eudicot	ccmFN	arabidopsis	1695	6.48E-02	14.74056604	0.192307692
NA	CCM	eudicot	ccmFN	helianthus	1719	2.70E-01	21.51162791	0.236842105
NA	CCM	eudicot	ccmFN	nicotiana	1725	9.06E-02	19.1193511	0.294117647
NA	COB	ANA	cob	Amborella	1182	1.73E+00	21.97802198	0.148148148
NA	COB	ANA	cob	Nymphaea	1182	1.20E+00	18.59678783	0.173913043
NA	COB	magnoliid	cob	Lirio	1182	7.79E-01	26.20456467	0.3125
NA	COB	magnoliid	cob	AriG	1260	1.02E+00	13.481364	0.166666667
NA	COB	magnoliid	cob	AriF	1260	7.19E-01	13.481364	0.166666667
NA	COB	magnoliid	cob	AriM	1275	8.28E-01	18.02507837	0.25
NA	COB	magnoliid	cob	Thottea	1182	8.78E-01	19.44209637	0.25
NA	COB	magnoliid	cob	Asarum	1173	1.30E+00	17.03577513	0.238095238
NA	COB	magnoliid	cob	Saruma	1173	1.63E+00	16.18398637	0.2
NA	COB	monocot	cob	allium	1173	2.06E+00	15.33219761	0.315789474
NA	COB	monocot	cob	phoenix	1182	1.67E+00	16.06086221	0.3
NA	COB	monocot	cob	zea	1167	1.62E+00	13.69863014	0.235294118
NA	COB	monocot	cob	oryza	1167	1.54E+00	16.26712329	0.3
NA	COB	eudicot	cob	nelumbo	1182	1.23E+00	21.13271344	0.307692308
NA	COB	eudicot	cob	malus	1182	1.33E+00	15.21555368	0.368421053
NA	COB	eudicot	cob	arabidopsis	1182	1.68E+00	7.607776839	0.3
NA	COB	eudicot	cob	helianthus	1161	1.94E+00	12.04819277	0.2
NA	COB	eudicot	cob	nicotiana	1182	1.39E+00	11.83431953	0.466666667
cis	COX	ANA	cox1	Amborella	1584	1.82E+00	20.82018927	0.147058824
cis	COX	ANA	cox1	Nymphaea	1584	2.715866281	17.03470032	0.321428571
cis	COX	magnoliid	cox1	Lirio	1584	2.889737064	27.76025237	0.355555556
cis	COX	magnoliid	cox1	AriG	1584	2.02E+00	14.51104101	0.291666667
cis	COX	magnoliid	cox1	AriF	1584	1.88E+00	14.51104101	0.291666667
cis	COX	magnoliid	cox1	AriM	1584	1.90E+00	17.66561514	0.275862069
cis	COX	magnoliid	cox1	Thottea	1584	2.10E+00	15.14195584	0.28
cis	COX	magnoliid	cox1	Asarum	1581	2.843222563	15.17067004	0.32
cis	COX	magnoliid	cox1	Saruma	1584	2.07E+00	13.88012618	0.260869565
cis	COX	monocot	cox1	allium	1599	2.07E+00	3.75	0.571428571
cis	COX	monocot	cox1	phoenix	1584	1.30E+00	3.154574132	0.5
cis	COX	monocot	cox1	zea	1587	1.93E+00	4.408060453	0.625
cis	COX	monocot	cox1	oryza	1575	1.41E+00	3.172588832	0.5
cis	COX	eudicot	cox1	nelumbo	1584	1.87E+00	8.201892744	0.5
cis	COX	eudicot	cox1	malus	1488	1.93E+00	10.07387508	0.25
cis	COX	eudicot	cox1	arabidopsis	1584	1.78E+00	0	1
cis	COX	eudicot	cox1	helianthus	1695	2.21E+00	15.33018868	0.333333333
cis	COX	eudicot	cox1	nicotiana	1584	3.141824155	11.35646688	0.473684211
cis	COX	ANA	cox2	Amborella	765	1.00E+00	27.4151436	0.045454545
cis	COX	ANA	cox2	Nymphaea	777	7.63E-01	26.99228792	0.090909091
cis	COX	magnoliid	cox2	Lirio	759	1.76E+00	25	0.15
cis	COX	magnoliid	cox2	AriG	771	1.81E+00	28.49740933	0.173913043
cis	COX	magnoliid	cox2	AriF	771	1.61E+00	29.79274611	0.208333333
cis	COX	magnoliid	cox2	AriM	771	1.58E+00	29.79274611	0.166666667
cis	COX	magnoliid	cox2	Thottea	771	7.51E-01	29.79274611	0.166666667
cis	COX	magnoliid	cox2	Asarum	771	2.15E+00	31.0880829	0.24
cis	COX	magnoliid	cox2	Saruma	771	1.93E+00	29.79274611	0.208333333
cis	COX	monocot	cox2	allium	804	1.81E+00	24.8447205	0.238095238
cis	COX	monocot	cox2	phoenix	780	1.60E+00	23.04737516	0.157894737
cis	COX	monocot	cox2	zea	783	3.578605474	28.06122449	0.304347826
cis	COX	monocot	cox2	oryza	783	2.33E+00	26.78571429	0.272727273
cis	COX	eudicot	cox2	nelumbo	783	1.74E+00	30.6122449	0.24
cis	COX	eudicot	cox2	malus	921	2.55E+00	15.18438178	0.266666667
cis	COX	eudicot	cox2	arabidopsis	783	1.93E+00	17.85714286	0.4
cis	COX	eudicot	cox2	helianthus	783	1.84E+00	16.58163265	0.285714286
cis	COX	eudicot	cox2	nicotiana	783	1.41E+00	19.13265306	0.1875
NA	COX	ANA	cox3	Amborella	798	1.82E+00	30.03754693	0.08
NA	COX	ANA	cox3	Nymphaea	798	2.07E+00	22.5281602	0.210526316
NA	COX	magnoliid	cox3	Lirio	798	1.27E+00	30.03754693	0.12
NA	COX	magnoliid	cox3	AriG	798	1.34E+00	21.27659574	0.166666667
NA	COX	magnoliid	cox3	AriF	798	1.41E+00	20.02503129	0.176470588
NA	COX	magnoliid	cox3	AriM	798	2.00E+00	23.77972466	0.25
NA	COX	magnoliid	cox3	Thottea	798	9.39E-01	22.5281602	0.157894737
NA	COX	magnoliid	cox3	Asarum	798	1.42E+00	21.27659574	0.222222222
NA	COX	magnoliid	cox3	Saruma	798	1.67E+00	22.5281602	0.315789474
NA	COX	monocot	cox3	allium	810	1.51E+00	16.02959309	0.071428571
NA	COX	monocot	cox3	phoenix	798	3.46E-01	20.02503129	0.117647059
NA	COX	monocot	cox3	zea	798	2.02E+00	16.27033792	0.214285714
NA	COX	monocot	cox3	oryza	843	2.07E+00	15.4028436	0.142857143
NA	COX	eudicot	cox3	nelumbo	798	2.712969694	26.28285357	0.136363636
NA	COX	eudicot	cox3	malus	798	1.48E+00	13.76720901	0.083333333
NA	COX	eudicot	cox3	arabidopsis	798	1.59E+00	8.760951189	0.125
NA	COX	eudicot	cox3	helianthus	798	1.49E+00	18.77346683	0.25
NA	COX	eudicot	cox3	nicotiana	798	1.80E+00	11.2640801	0.2
NA	MAT	ANA	matR	Amborella	1932	6.64E-01	12.93326436	0.153846154
NA	MAT	ANA	matR	Nymphaea	1935	2.36E-01	9.297520661	0.157894737
NA	MAT	magnoliid	matR	Lirio	1953	1.04E-01	10.23541453	0.142857143
NA	MAT	magnoliid	matR	AriG	1983	3.60E-01	12.09677419	0.36
NA	MAT	magnoliid	matR	AriF	1983	3.24E-01	10.58467742	0.272727273
NA	MAT	magnoliid	matR	AriM	1983	6.67E-01	11.08870968	0.304347826
NA	MAT	magnoliid	matR	Thottea	2001	4.45E-01	8.491508492	0.166666667
NA	MAT	magnoliid	matR	Asarum	1926	1.53E-01	10.37882719	0.238095238
NA	MAT	magnoliid	matR	Saruma	1959	9.14E-02	9.183673469	0.210526316
NA	MAT	monocot	matR	allium	1971	2.94E-02	7.099391481	0.2
NA	MAT	monocot	matR	phoenix	1950	3.63E-01	10.76371092	0.318181818
NA	MAT	monocot	matR	zea	1995	3.32E-02	7.014028056	0.266666667
NA	MAT	monocot	matR	oryza	2025	4.33E-02	8.884501481	0.368421053
NA	MAT	eudicot	matR	nelumbo	1968	1.27E-01	13.20467242	0.296296296
NA	MAT	eudicot	matR	malus	1968	1.52E-01	7.110208228	0.2
NA	MAT	eudicot	matR	arabidopsis	2019	1.95E-01	4.95049505	0.181818182
NA	MAT	eudicot	matR	helianthus	1968	1.40E-01	8.633824276	0.333333333
NA	MAT	eudicot	matR	nicotiana	1968	5.48E-01	7.110208228	0.333333333
NA	MTT	ANA	mttB	Amborella	807	1.09E-01	65.59405941	0.037037037
NA	MTT	ANA	mttB	Nymphaea	798	1.65E-01	33.7922403	0.035714286
NA	MTT	magnoliid	mttB	Lirio	768	1.50E-01	71.52145644	0.214285714
NA	MTT	magnoliid	mttB	AriG	789	4.03E-01	51.89873418	0.071428571
NA	MTT	magnoliid	mttB	AriF	789	4.01E-01	50.63291139	0.073170732
NA	MTT	magnoliid	mttB	AriM	789	2.41E-01	53.16455696	0.069767442
NA	MTT	magnoliid	mttB	Thottea	789	2.62E-01	51.89873418	0.071428571
NA	MTT	magnoliid	mttB	Asarum	789	1.22E-01	55.69620253	0.111111111
NA	MTT	magnoliid	mttB	Saruma	789	4.29E-01	51.89873418	0.095238095
NA	MTT	monocot	mttB	allium	714	2.25E-01	64.33566434	0.212765957
NA	MTT	monocot	mttB	phoenix	807	1.54E-01	59.40594059	0.244897959
NA	MTT	monocot	mttB	zea	816	4.31E-01	47.73561812	0.2
NA	MTT	monocot	mttB	oryza	810	7.26E-01	51.78791615	0.23255814
NA	MTT	eudicot	mttB	nelumbo	842	3.23E-02	67.61565836	0.189655172
NA	MTT	eudicot	mttB	malus	828	2.54E-01	48.2509047	0.097560976
NA	MTT	eudicot	mttB	arabidopsis	824	1.54E-01	35.15151515	0.1
NA	MTT	eudicot	mttB	helianthus	837	1.57E-01	56.08591885	0.1875
NA	MTT	eudicot	mttB	nicotiana	840	1.50E-01	49.94054697	0.23255814
trans	NAD	ANA	nad1	Amborella	978	9.21E-01	40.85801839	0.170731707
trans	NAD	ANA	nad1	Nymphaea	978	8.26E-01	33.70786517	0.058823529
trans	NAD	magnoliid	nad1	Lirio	978	6.97E-01	40.85801839	0.146341463
trans	NAD	magnoliid	nad1	AriG	978	5.71E-01	30.64351379	0.064516129
trans	NAD	magnoliid	nad1	AriF	978	5.36E-01	30.64351379	0.064516129
trans	NAD	magnoliid	nad1	AriM	978	8.99E-01	31.66496425	0.0625
trans	NAD	magnoliid	nad1	Thottea	978	9.81E-01	31.66496425	0.09375
trans	NAD	magnoliid	nad1	Asarum	978	8.77E-01	33.70786517	0.088235294
trans	NAD	magnoliid	nad1	Saruma	978	7.79E-01	33.70786517	0.088235294
trans	NAD	monocot	nad1	allium	987	5.57E-01	30.36437247	0.064516129
trans	NAD	monocot	nad1	phoenix	984	4.09E-01	34.5177665	0.171428571
trans	NAD	monocot	nad1	zea	978	9.13E-01	27.57916241	0.178571429
trans	NAD	monocot	nad1	oryza	978	6.50E-01	26.55771195	0.185185185
trans	NAD	eudicot	nad1	nelumbo	978	6.34E-01	41.87946885	0.095238095
trans	NAD	eudicot	nad1	malus	996	6.63E-01	27.08124373	0.178571429
trans	NAD	eudicot	nad1	arabidopsis	978	5.16E-01	22.47191011	0.086956522
trans	NAD	eudicot	nad1	helianthus	984	5.79E-01	26.39593909	0.148148148
trans	NAD	eudicot	nad1	nicotiana	978	6.19E-01	28.60061287	0.206896552
trans	NAD	ANA	nad2	Amborella	1467	4.10E-01	27.92915531	0.095238095
trans	NAD	ANA	nad2	Nymphaea	1467	8.95E-01	33.37874659	0.28
trans	NAD	magnoliid	nad2	Lirio	1467	5.12E-01	36.10354223	0.259259259
trans	NAD	magnoliid	nad2	AriG	1467	7.36E-01	28.61035422	0.209302326
trans	NAD	magnoliid	nad2	AriF	1467	6.99E-01	28.61035422	0.209302326
trans	NAD	magnoliid	nad2	AriM	1467	8.46E-01	29.29155313	0.204545455
trans	NAD	magnoliid	nad2	Thottea	1467	8.89E-01	28.61035422	0.209302326
trans	NAD	magnoliid	nad2	Asarum	1467	5.00E-01	27.2479564	0.219512195
trans	NAD	magnoliid	nad2	Saruma	1467	4.50E-01	26.56675749	0.2
trans	NAD	monocot	nad2	allium	1467	4.20E-01	26.56675749	0.3
trans	NAD	monocot	nad2	phoenix	1485	1.03E+00	30.28263795	0.239130435
trans	NAD	monocot	nad2	zea	1467	4.57E-01	21.79836512	0.242424242
trans	NAD	monocot	nad2	oryza	1467	3.12E-01	18.39237057	0.321428571
trans	NAD	eudicot	nad2	nelumbo	1467	3.87E-01	30.65395095	0.239130435
trans	NAD	eudicot	nad2	malus	1467	4.13E-01	21.79836512	0.272727273
trans	NAD	eudicot	nad2	arabidopsis	1500	4.97E-01	18.65423051	0.275862069
trans	NAD	eudicot	nad2	helianthus	1467	4.36E-01	21.11716621	0.1875
trans	NAD	eudicot	nad2	nicotiana	1467	7.85E-01	26.56675749	0.375
NA	NAD	ANA	nad3	Amborella	357	1.29E-01	53.0726257	0.1
NA	NAD	ANA	nad3	Nymphaea	357	1.55E-01	53.0726257	0.15
NA	NAD	magnoliid	nad3	Lirio	357	1.05E-01	67.03910615	0.24
NA	NAD	magnoliid	nad3	AriG	357	2.89E-01	50.27932961	0.210526316
NA	NAD	magnoliid	nad3	AriF	357	4.67E-01	47.48603352	0.166666667
NA	NAD	magnoliid	nad3	AriM	357	3.59E-01	53.0726257	0.2
NA	NAD	magnoliid	nad3	Thottea	357	8.64E-01	53.0726257	0.25
NA	NAD	magnoliid	nad3	Asarum	354	2.32E-01	53.52112676	0.2
NA	NAD	magnoliid	nad3	Saruma	357	3.37E-01	53.0726257	0.2
NA	NAD	monocot	nad3	allium	357	2.08E-01	61.45251397	0.217391304
NA	NAD	monocot	nad3	phoenix	357	5.74E-02	69.83240223	0.230769231
NA	NAD	monocot	nad3	zea	357	1.10E-01	58.65921788	0.227272727
NA	NAD	monocot	nad3	oryza	468	7.06E-02	34.11513859	0.176470588
NA	NAD	eudicot	nad3	nelumbo	357	4.31E-02	53.0726257	0.25
NA	NAD	eudicot	nad3	malus	357	3.11E-01	44.69273743	0.235294118
NA	NAD	eudicot	nad3	arabidopsis	357	1.87E-01	30.72625698	0.25
NA	NAD	eudicot	nad3	helianthus	357	1.98E-01	47.48603352	0.222222222
NA	NAD	eudicot	nad3	nicotiana	357	2.61E-01	50.27932961	0.210526316
cis	NAD	ANA	nad4	Amborella	1488	6.29E-01	45.66823371	0.057971014
cis	NAD	ANA	nad4	Nymphaea	1461	6.49E-01	42.40766074	0.142857143
cis	NAD	magnoliid	nad4	Lirio	1488	5.48E-01	46.33982539	0.114285714
cis	NAD	magnoliid	nad4	AriG	1488	5.81E-01	39.62390866	0.05
cis	NAD	magnoliid	nad4	AriF	1488	7.26E-01	38.28072532	0.034482759
cis	NAD	magnoliid	nad4	AriM	1482	8.83E-01	41.13283884	0.080645161
cis	NAD	magnoliid	nad4	Thottea	1488	8.98E-01	40.29550034	0.049180328
cis	NAD	magnoliid	nad4	Asarum	1488	4.25E-01	43.6534587	0.151515152
cis	NAD	magnoliid	nad4	Saruma	1488	6.82E-01	42.31027535	0.140625
cis	NAD	monocot	nad4	allium	1488	6.17E-01	34.92276696	0.094339623
cis	NAD	monocot	nad4	phoenix	1488	3.60E-01	42.98186702	0.092307692
cis	NAD	monocot	nad4	zea	1488	8.53E-01	17.46138348	0.185185185
cis	NAD	monocot	nad4	oryza	1488	4.93E-01	14.77501679	0.173913043
cis	NAD	eudicot	nad4	nelumbo	1488	3.38E-01	47.01141706	0.084507042
cis	NAD	eudicot	nad4	malus	1488	1.07E+00	30.22162525	0.130434783
cis	NAD	eudicot	nad4	arabidopsis	1488	1.33E+00	23.50570853	0.111111111
cis	NAD	eudicot	nad4	helianthus	1488	7.66E-01	11.41705843	0.111111111
cis	NAD	eudicot	nad4	nicotiana	1488	4.07E-01	28.20685024	0.209302326
NA	NAD	ANA	nad4L	Amborella	309	3.07E-01	41.93548387	0.071428571
NA	NAD	ANA	nad4L	Nymphaea	303	1.01E+00	39.47368421	0.230769231
NA	NAD	magnoliid	nad4L	Lirio	303	4.89E-01	49.34210526	0.1875
NA	NAD	magnoliid	nad4L	AriG	303	9.15E-01	36.18421053	0.166666667
NA	NAD	magnoliid	nad4L	AriF	303	9.38E-01	36.18421053	0.166666667
NA	NAD	magnoliid	nad4L	AriM	303	1.16E+00	39.47368421	0.153846154
NA	NAD	magnoliid	nad4L	Thottea	303	8.62E-01	39.47368421	0.153846154
NA	NAD	magnoliid	nad4L	Asarum	303	8.76E-01	39.47368421	0.153846154
NA	NAD	magnoliid	nad4L	Saruma	303	8.87E-01	39.47368421	0.153846154
NA	NAD	monocot	nad4L	allium	303	1.90E+00	49.34210526	0.25
